"code","label"
"1","European citizenship"
"1.10","Fundamental rights in the Union, Charter"
"1.20","Citizen's rights"
"1.20.01","Political rights, right to vote and to stand in elections"
"1.20.02","Social and economic rights"
"1.20.03","Right of petition"
"1.20.04","European Ombudsman"
"1.20.05","Public access to information and documents, administrative practice"
"1.20.09","Protection of privacy and data protection"
"1.20.20","Diplomatic and consular protection"
"2","Internal market, SLIM"
"2.10","Free movement of goods"
"2.10.01","Customs Union, tax and duty-free, Community transit"
"2.10.02","Public procurement"
"2.10.03","Standardisation, EC standards and trade-mark, certification, compliance"
"2.20","Free movement of persons"
"2.20.01","Freedom of movement, right of residence, identity checks"
"2.30","Free movement of workers"
"2.40","Free movement of services, freedom to provide"
"2.40.01","Right of establishment"
"2.40.02","Public services, of general interest, universal service"
"2.50","Free movement of capital"
"2.50.02","Savings"
"2.50.03","Securities and financial markets, stock exchange, CIUTS, investments"
"2.50.04","Banks and credit"
"2.50.04.02","Electronic money and payments, cross-border credit transfers"
"2.50.05","Insurance, occupational pension funds"
"2.50.08","Financial services, financial reporting and auditing"
"2.50.10","Financial supervision"
"2.60","Competition"
"2.60.01","Trade restrictions, concerted practices, dominant positions"
"2.60.02","Dumping, monopolies"
"2.60.03","State aids and interventions"
"2.60.04","Economic concentration, mergers, takeover bids, holding companies"
"2.70","Taxation"
"2.70.01","Direct taxation"
"2.70.02","Indirect taxation, VAT, excise duties"
"2.80","Cooperation between administrations"
"3","Community policies"
"3.10","Agricultural policy and economies"
"3.10.01","Agricultural structures and holdings, farmers"
"3.10.01.02","Rural development, EAFRD"
"3.10.01.06","Less-favoured agricultural areas"
"3.10.02","Processed products, agri-foodstuffs"
"3.10.03","Marketing and trade of agricultural products, in general"
"3.10.04","Livestock farming"
"3.10.04.02","Animal protection"
"3.10.05","Livestock products, in general"
"3.10.05.01","Meat"
"3.10.05.02","Milk and dairy products"
"3.10.05.03","Eggs and poultry"
"3.10.06","Crop products in general, floriculture"
"3.10.06.01","Fruit, citrus fruits"
"3.10.06.02","Vegetables"
"3.10.06.03","Cereals, rice"
"3.10.06.04","Fodder plants"
"3.10.06.05","Textile plants, cotton"
"3.10.06.06","Oleaginous plants"
"3.10.06.07","Sugar"
"3.10.06.08","Wine, alcoholic and non-alcoholic beverages"
"3.10.06.09","Industrial plants, tobacco, hops"
"3.10.06.10","Tropical plants"
"3.10.07","Animal and vegetable fats, oils"
"3.10.08","Animal health requirements, veterinary legislation and pharmacy"
"3.10.08.01","Feedingstuffs, animal nutrition"
"3.10.08.05","Animal diseases"
"3.10.09","Plant health legislation, organic farming, agro-genetics in general"
"3.10.09.02","Plant health legislation"
"3.10.09.04","Organic farming"
"3.10.09.06","Agro-genetics, GMOs"
"3.10.10","Foodstuffs, foodstuffs legislation"
"3.10.11","Forestry policy"
"3.10.12","Agrimonetary policy, compensatory amounts"
"3.10.13","European Agricultural Guidance and Guarantee Fund, EAGGF and EAGF"
"3.10.14","Support for producers and premiums"
"3.10.14.04","Set-aside and agricultural reconversion"
"3.10.15","Agricultural production, farm surpluses, shortages and quotas, non-marketing premiums"
"3.10.30","Agricultural statistics"
"3.15","Fisheries policy"
"3.15.01","Fish stocks, conservation of fishery resources"
"3.15.02","Aquaculture"
"3.15.03","Fishing fleets, safety of fishing vessels"
"3.15.04","Management of fisheries, fisheries, fishing grounds"
"3.15.05","Fish catches, import tariff quotas"
"3.15.06","Fishing industry and statistics, fishery products"
"3.15.07","Fisheries inspectorate, surveillance of fishing vessels and areas"
"3.15.08","Fishing enterprises, fishermen, working conditions on board"
"3.15.15","Fisheries agreements and cooperation"
"3.15.15.02","Fisheries agreements with African countries"
"3.15.15.03","Fisheries agreements with Indian Ocean countries"
"3.15.15.04","Fisheries agreements with Maghreb and Mediterranean countries"
"3.15.15.06","Fisheries agreements with Pacific countries"
"3.15.15.08","Fisheries agreements with Northern and Baltic countries"
"3.15.16","European Fisheries Fund (EFF)"
"3.15.17","European Maritime and Fisheries Fund (EMFF)"
"3.20","Transport policy in general"
"3.20.01","Air transport and air freight"
"3.20.01.01","Air safety"
"3.20.02","Rail transport: passengers and freight"
"3.20.02.01","Railway safety"
"3.20.03","Sea transport: passengers and freight"
"3.20.03.01","Maritime safety"
"3.20.04","Inland waterway transport"
"3.20.05","Road transport: passengers and freight"
"3.20.06","Transport regulations, road safety, roadworthiness tests, driving licence"
"3.20.07","Combined transport, multimodal transport"
"3.20.08","Urban transport"
"3.20.09","Ports policy"
"3.20.10","Transport undertakings, transport industry employees"
"3.20.11","Trans-European transport networks"
"3.20.15","Transport agreements and cooperation"
"3.20.15.02","Air transport agreements and cooperation"
"3.20.15.04","Road transport agreements and cooperation"
"3.20.15.06","Maritime or inland transport agreements and cooperation"
"3.20.20","Transportation statistics"
"3.30","Information and communications in general"
"3.30.01","Audiovisual industry and services"
"3.30.01.02","Programmes and actions in audiovisual sector"
"3.30.02","Television, cable, digital, mobile"
"3.30.03","Telecommunications, data transmission, telephone"
"3.30.03.04","Telecommunication and voice telephony networks (ONP, ISDN)"
"3.30.03.06","Communications by satellite"
"3.30.04","Radiocommunications, broadcasting"
"3.30.05","Electronic and mobile communications, personal communications"
"3.30.06","Information and communication technologies"
"3.30.08","Press, media concentration"
"3.30.09","Postal services"
"3.30.15","Telematics"
"3.30.16","Ethical information policy"
"3.30.20","Trans-European communications networks"
"3.30.25","International information networks and society, internet"
"3.30.25.02","Information programmes and action plans"
"3.30.30","Information and audiovisual statistics"
"3.40","Industrial policy"
"3.40.01","Chemical industry, fertilizers, plastics"
"3.40.02","Iron and steel industry, metallurgical industry"
"3.40.03","Motor industry, cycle and motorcycle, commercial and agricultural vehicles"
"3.40.04","Shipbuilding, nautical industry"
"3.40.05","Aeronautical industry, aerospace industry"
"3.40.06","Electronics, electrotechnical industries, data-processing, office automation"
"3.40.07","Building industry"
"3.40.08","Mechanical engineering, machine-tool industry"
"3.40.09","Defence and arms industry"
"3.40.10","Textile and clothing industry, leathers"
"3.40.11","Precision engineering, optics, photography, medical"
"3.40.12","Luxury products industry, cosmetics"
"3.40.13","Food industry"
"3.40.14","Industrial competitiveness"
"3.40.16","Raw materials"
"3.40.17","Manufactured goods"
"3.40.18","Services sector"
"3.45","Enterprise policy, inter-company cooperation"
"3.45.01","Company law"
"3.45.02","Small and medium-sized enterprises SMEs, craft industries"
"3.45.03","Financial management of undertakings, business loans, accounting"
"3.45.04","Company taxation"
"3.45.05","Business policy, electronic commerce, after-sales service, commercial distribution"
"3.45.07","Social economy, mutual societies, cooperatives, associations"
"3.45.08","Business environment, reduction of the administrative burdens"
"3.45.20","Business statistics"
"3.50","Research and technological development RTD"
"3.50.01","European research area and policy"
"3.50.01.05","Research specific areas"
"3.50.02","Framework programme and research programmes"
"3.50.02.01","EC, EU framework programme"
